"2010 SOC Code","2018 SOC Code","2018 Census Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","2010 Census Title","2010 Census Code","2018 SOC Title","2018 Census Title","O.NET.SOC.2019.Code","O.NET.SOC.2019.Title","2018 STEM Category","education_stw_2010","knowledge_stw_2010","rothwell_stw_2010"
"37-3012","37-3012","4255","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","Pesticide Handlers, Sprayers, and Applicators, Vegetation","Grounds maintenance workers","4250","Pesticide Handlers, Sprayers, and Applicators, Vegetation","Other grounds maintenance workers","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","Non-STEM","Yes","No","Non-STW"
"37-3013","37-3013","4252","37-3013.00","Tree Trimmers and Pruners","Tree Trimmers and Pruners","Grounds maintenance workers","4250","Tree Trimmers and Pruners","Tree trimmers and pruners","37-3013.00","Tree Trimmers and Pruners","Non-STEM","Yes","No","Non-STW"
"37-3019","37-3019","4255","37-3019.00","Grounds Maintenance Workers, All Other","Grounds Maintenance Workers, All Other","Grounds maintenance workers","4250","Grounds Maintenance Workers, All Other","Other grounds maintenance workers","37-3019.00","Grounds Maintenance Workers, All Other","Non-STEM",NA,NA,NA
"39-1011","39-1013","4330","39-1011.00","Gaming Supervisors","Gaming Supervisors","First-line supervisors of gaming workers","4300","First-Line Supervisors of Gambling Services Workers","Supervisors of personal care and service workers","39-1013.00","First-Line Supervisors of Gambling Services Workers","Non-STEM","Yes","No","Non-STW"
"39-1012","39-1013","4330","39-1012.00","Slot Supervisors","Slot Supervisors","First-line supervisors of gaming workers","4300","First-Line Supervisors of Gambling Services Workers","Supervisors of personal care and service workers","39-1013.00","First-Line Supervisors of Gambling Services Workers","Non-STEM","Yes","No","Non-STW"
"39-1021","53-1044","9005","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Passenger Attendants","Supervisors of transportation and material moving workers","39-1022.00","First-Line Supervisors of Personal Service Workers","Non-STEM","Yes","No","Non-STW"
"39-1021","53-1044","9005","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Passenger Attendants","Supervisors of transportation and material moving workers","39-1014.00","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","Non-STEM","Yes","No","Non-STW"
"39-1021","39-1014","4330","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","Supervisors of personal care and service workers","53-1044.00","First-Line Supervisors of Passenger Attendants","Non-STEM","Yes","No","Non-STW"
"39-1021","39-1014","4330","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","Supervisors of personal care and service workers","39-1014.00","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","Non-STEM","Yes","No","Non-STW"
"39-1021","39-1022","4330","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Personal Service Workers","Supervisors of personal care and service workers","39-1014.00","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","Non-STEM","Yes","No","Non-STW"
"39-1021","11-9179","0426","39-1021.01","Spa Managers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","Personal Service Managers, All Other","Personal service managers, all other","11-9179.02","Spa Managers","Non-STEM","Yes","No","Non-STW"
"39-1021","39-1022","4330","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Personal Service Workers","Supervisors of personal care and service workers","53-1044.00","First-Line Supervisors of Passenger Attendants","Non-STEM","Yes","No","Non-STW"
"39-1021","39-1022","4330","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Personal Service Workers","Supervisors of personal care and service workers","39-1022.00","First-Line Supervisors of Personal Service Workers","Non-STEM","Yes","No","Non-STW"
"39-1021","53-1044","9005","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Passenger Attendants","Supervisors of transportation and material moving workers","53-1044.00","First-Line Supervisors of Passenger Attendants","Non-STEM","Yes","No","Non-STW"
"39-1021","39-1014","4330","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers","First-line supervisors of personal service workers","4320","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","Supervisors of personal care and service workers","39-1022.00","First-Line Supervisors of Personal Service Workers","Non-STEM","Yes","No","Non-STW"
"39-2011","39-2011","4340","39-2011.00","Animal Trainers","Animal Trainers","Animal trainers","4340","Animal Trainers","Animal trainers","39-2011.00","Animal Trainers","Non-STEM","Yes","No","Non-STW"
"39-2021","39-2021","4350","39-2021.00","Nonfarm Animal Caretakers","Nonfarm Animal Caretakers","Nonfarm animal caretakers","4350","Animal Caretakers","Animal caretakers","39-2021.00","Animal Caretakers","Non-STEM","Yes","No","Non-STW"
"39-3011","39-3011","4400","39-3011.00","Gaming Dealers","Gaming Dealers","Gaming services workers","4400","Gambling Dealers","Gambling services workers","39-3011.00","Gambling Dealers","Non-STEM","Yes","No","Non-STW"
"39-3012","39-3012","4400","39-3012.00","Gaming and Sports Book Writers and Runners","Gaming and Sports Book Writers and Runners","Gaming services workers","4400","Gambling and Sports Book Writers and Runners","Gambling services workers","39-3012.00","Gambling and Sports Book Writers and Runners","Non-STEM","Yes","No","Non-STW"
"39-3019","39-3019","4400","39-3019.00","Gaming Service Workers, All Other","Gaming Service Workers, All Other","Gaming services workers","4400","Gambling Service Workers, All Other","Gambling services workers","39-3019.00","Gambling Service Workers, All Other","Non-STEM",NA,NA,NA
"39-3021","39-3021","4435","39-3021.00","Motion Picture Projectionists","Motion Picture Projectionists","Motion picture projectionists","4410","Motion Picture Projectionists","Other entertainment attendants and related workers","39-3021.00","Motion Picture Projectionists","Non-STEM","Yes","No","Non-STW"
"39-3031","39-3031","4420","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","Ushers, Lobby Attendants, and Ticket Takers","Ushers, lobby attendants, and ticket takers","4420","Ushers, Lobby Attendants, and Ticket Takers","Ushers, lobby attendants, and ticket takers","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","Non-STEM","Yes","No","Non-STW"
"39-3091","39-3091","4435","39-3091.00","Amusement and Recreation Attendants","Amusement and Recreation Attendants","Miscellaneous entertainment attendants and related workers","4430","Amusement and Recreation Attendants","Other entertainment attendants and related workers","39-3091.00","Amusement and Recreation Attendants","Non-STEM","Yes","No","Non-STW"
"39-3092","39-3092","4435","39-3092.00","Costume Attendants","Costume Attendants","Miscellaneous entertainment attendants and related workers","4430","Costume Attendants","Other entertainment attendants and related workers","39-3092.00","Costume Attendants","Non-STEM","Yes","No","Non-STW"
"39-3093","39-3093","4435","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants","Locker Room, Coatroom, and Dressing Room Attendants","Miscellaneous entertainment attendants and related workers","4430","Locker Room, Coatroom, and Dressing Room Attendants","Other entertainment attendants and related workers","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants","Non-STEM","Yes","No","Non-STW"
"39-3099","39-3099","4435","39-3099.00","Entertainment Attendants and Related Workers, All Other","Entertainment Attendants and Related Workers, All Other","Miscellaneous entertainment attendants and related workers","4430","Entertainment Attendants and Related Workers, All Other","Other entertainment attendants and related workers","39-3099.00","Entertainment Attendants and Related Workers, All Other","Non-STEM",NA,NA,NA
"39-4011","39-4011","4461","39-4011.00","Embalmers","Embalmers","Embalmers and funeral attendants","4460","Embalmers","Embalmers, crematory operators and funeral attendants","39-4011.00","Embalmers","Non-STEM","Yes","No","Non-STW"
"39-4021","39-4021","4461","39-4021.00","Funeral Attendants","Funeral Attendants","Embalmers and funeral attendants","4460","Funeral Attendants","Embalmers, crematory operators and funeral attendants","39-4021.00","Funeral Attendants","Non-STEM","Yes","No","Non-STW"
"39-4031","39-4031","4465","39-4031.00","Morticians, Undertakers, and Funeral Directors","Morticians, Undertakers, and Funeral Directors","Morticians, undertakers, and funeral directors","4465","Morticians, Undertakers, and Funeral Arrangers","Morticians, undertakers, and funeral arrangers","39-4031.00","Morticians, Undertakers, and Funeral Arrangers","Non-STEM","Yes","No","Non-STW"
"39-5011","39-5011","4500","39-5011.00","Barbers","Barbers","Barbers","4500","Barbers","Barbers","39-5011.00","Barbers","Non-STEM","Yes","No","Non-STW"
"39-5012","39-5012","4510","39-5012.00","Hairdressers, Hairstylists, and Cosmetologists","Hairdressers, Hairstylists, and Cosmetologists","Hairdressers, hairstylists, and cosmetologists","4510","Hairdressers, Hairstylists, and Cosmetologists","Hairdressers, hairstylists, and cosmetologists","39-5012.00","Hairdressers, Hairstylists, and Cosmetologists","Non-STEM","Yes","No","Non-STW"
"39-5091","39-5091","4525","39-5091.00","Makeup Artists, Theatrical and Performance","Makeup Artists, Theatrical and Performance","Miscellaneous personal appearance workers","4520","Makeup Artists, Theatrical and Performance","Other personal appearance workers","39-5091.00","Makeup Artists, Theatrical and Performance","Non-STEM","Yes","No","Non-STW"
"39-5092","39-5092","4521","39-5092.00","Manicurists and Pedicurists","Manicurists and Pedicurists","Miscellaneous personal appearance workers","4520","Manicurists and Pedicurists","Manicurists and pedicurists","39-5092.00","Manicurists and Pedicurists","Non-STEM","Yes","No","Non-STW"
"39-5093","39-5093","4525","39-5093.00","Shampooers","Shampooers","Miscellaneous personal appearance workers","4520","Shampooers","Other personal appearance workers","39-5093.00","Shampooers","Non-STEM","Yes","No","Non-STW"
"39-5094","39-5094","4522","39-5094.00","Skincare Specialists","Skincare Specialists","Miscellaneous personal appearance workers","4520","Skincare Specialists","Skincare specialists","39-5094.00","Skincare Specialists","Non-STEM","Yes","No","Non-STW"
"39-6011","39-6011","4530","39-6011.00","Baggage Porters and Bellhops","Baggage Porters and Bellhops","Baggage porters, bellhops, and concierges","4530","Baggage Porters and Bellhops","Baggage porters, bellhops, and concierges","39-6011.00","Baggage Porters and Bellhops","Non-STEM","Yes","No","Non-STW"
